Freq,F0,F1,F2,F3,F4,F5
C2,64,129,194,261,326,391
Cs2,69,135,208,276,346,414
D2,72,145,220,292,366,438
Ds2,78,155,232,309,388,466
E2,81,164,245,328,411,493
F2,87,174,261,348,435,522
Fs2,91,184,276,369,461,554
G2,97,195,294,391,489,587
Gs2,103,208,310,414,518,621
A2,110,220,328,438,548,660
As2,116,232,349,466,581,699
B2,123,247,370,493,617,740
C3,131,262,392,522,653,784
Cs3,138,276,415,554,693,832
D3,146,293,440,587,734,881
Ds3,155,309,467,621,778,933
E3,165,329,493,660,824,990
F3,175,349,523,698,873,1049
Fs3,185,370,554,739,926,1112
G3,196,392,587,783,982,1178
Gs3,208,415,621,832,1039,1249
A3,220,439,658,880,1102,1323
As3,232,467,696,933,1167,1403
B3,246,494,741,988,1237,1487
C4,262,523,785,1049,1311,1577
Cs4,276,554,833,1111,1390,1671
D4,294,587,882,1177,1472,1771
Ds4,310,622,934,1246,1559,1877
E4,329,660,990,1321,1656,1992
F4,350,698,1049,1401,1755,2111
Fs4,370,739,1111,1485,1861,2241
G4,392,784,1177,1573,1973,2374
Gs4,415,832,1249,1670,2093,2522
A4,441,881,1323,1769,2218,2672
As4,467,931,1401,1875,2349,2836
B4,494,987,1484,1986,2489,3004
C5,522,1047,1575,2107,2644,3192
Cs5,554,1108,1669,2233,2801,3383
D5,587,1175,1768,2365,2967,3583
Ds5,623,1245,1874,2510,3154,3809
E5,660,1319,1985,2659,3342,4037
F5,700,1398,2104,2817,3540,4278
Fs5,740,1482,2233,2995,3767,4559
G5,785,1571,2365,3173,3991,4829
Gs5,831,1666,2510,3365,4237,5129
A5,880,1766,2658,3566,4490,5433
As5,932,1870,2822,3790,4788,5813
B5,988,1982,2989,4016,5073,6158
C6,1048,2102,3174,4269,5399,6567
Cs6,1110,2226,3363,4525,5721,6959
D6,1176,2360,3562,4793,6060,7371
Ds6,1250,2509,3751,5115,6485,7908
E6,1324,2659,4020,5420,6870,8379
F6,1402,2820,4265,5777,7340,8990
Fs6,1485,2987,4518,6120,7778,9525
G6,1575,3146,4797,6496,8272,10152
Gs6,1667,3335,5082,6886,8781,10719
A6,1771,3551,5420,7369,9411,11570